hotel_id,hotel_name,avg_price,review_score
10006185,Pradhan's Cottage,1998,4.5
10063673,Meadow: Prashant's Homestay Nainital,2000,4.5
10063683,Orchard: Prashant’s Homestay Nainital,1657,4.5
10065748,A Real Home stay  room -3,1200,5
10076676,Tranquility Cottage,2600,4.5
10082854,Clover - Flapjack,1350,4.5
10083156,Clover - iStreet,1300,4.5
10091220,_Artist's Home_( Netflix + Amazon Firestick),1700,4.5
10139020,Private Room with an attached terrace verandah,2500,5
10144098,Guddadamane Homestay - Bungalow,12000,5
10147408,Private Room with it's Own Entrance,835,5
10180704,Marigold. hotels Jaisalmer,519,5
10217046,YOGA VILLA  - QUIET YOGA HUB,735,4.5
10239342,"Quaint Wood Cottage, Sherpa khangba",950,5
10242765,ROSHVIew Retreat Wayanad,4300,4.5
10256136,Apurba's Pensione,1160,4.5
10259001,Olive Greens Homestay:10 mins to Mall Road Kasauli,3900,5
10259304,Daisys nest 1,1066,4.5
10260688,Lovely place to stay.,800,5
10301800,HOME ISOLATION NEAR ZOO ROAD,1436,5
10322911,"Haamro Ghar Shared Apartment, Mirik- Family Room",750,5
10323386,5000 Sq Ft Flat with a Plunge Pool,2143,4.5
10347210,Cozy Bedroom near the Palace Museum,712,5
10350137,Ba's special room!,718,4
10369867,__Comfortable Retreat in Varanasi__,1854,3.5
10382778,"Cozy, Private budget room in Jaisalmer Fort!",712,4.5
10383276,Maharaja Room near Palace Museum!,999,4.5
10384839,Lake View Luxury Apartment @ Hauz Khas Village,7200,5
10396725,DLF-5/ Horizon Center Posh home-25min Airport,2000,5
1040390,Devrai Home Stay,2000,5
10445707,Chopra House - Upper Room 1,1800,4.5
10460341,2BHK IN JAYABHERI ENCLAVE,2600,5
10460369,Bed and breakfast stay for two .,990,4.5
10485313,Palm Grove Service Villa-Non A/C Room@budget price,990,4.5
10528932,Krishna Kuti,1200,5
10580198,Clover - Froyo,1100,4.5
10581292,TREK INN YERCAUD AND WOODEN HOUSES,5500,4.5
10582390,Bamboo cottage,1200,4.5
10600028,Chopra House - Upper Room 2,1800,4.5
10618186,Royal Deluxe Room in Jaipur !,3200,4.5
10619005,Chopra House - Upper Room 3,1800,4
10623757,Private room on Agonda Room 7,1935,4.5
10641103,Cosy serviçe apartment,2223,4.5
10641458,Devi Vilas guest house,1500,4.5
10643304,Modern+PocketFriendly+Wifi@South:5 min from Metro,740,5
10660036,Family AC room,890,5
10668434,'Yahvi',3000,5
10683847,"Fully Furnished Studio Apart,Siolim",1680,4.5
10697739,Budget Room in beach hut 3 at Agonda,1460,5
10738228,"Hamptan HomeStay at Village Shuru, Manali.",740,4.5
10761385,Hotel Renuka - Deluxe double twin room AC,1550,4.5
10767958,only for girls,1000,4.5
10792737,Value Homes - Compact AC room,1584,5
1084494,Beyond The Dreams,1250,4.5
10846981,4 Bed AC Dorm with Breakfast,1891,5
